month,revenue,partial_month
2009-12,797738.02,False
2010-01,612271.2,False
2010-02,537893.54,False
2010-03,761665.62,False
2010-04,646233.18,False
2010-05,643474.28,False
2010-06,696439.47,False
2010-07,632983.51,False
2010-08,674036.87,False
2010-09,869224.4400000001,False
2010-10,1094357.68,False
2010-11,1429553.47,False
2010-12,775572.23,False
2011-01,670361.99,False
2011-02,507783.42,False
2011-03,689708.49,False
2011-04,515354.78,False
2011-05,739914.35,False
2011-06,737558.98,False
2011-07,688144.79,False
2011-08,724196.76,False
2011-09,1028313.8,False
2011-10,1103310.96,False
2011-11,1452112.69,False
2011-12,614487.63,True
